target,n_estimators,min_samples_leaf,fold,n_fold_train,n_fold_validation,fit_seconds,nodes_total,leaves_total,mean_tree_depth,r2,mae,rmse
target_frontier_gap_ev,100,2,2,1755,439,0.4495947080431506,151886,75993,24.58,0.976585247109319,0.03885013990129073,0.055216299715271845
target_frontier_gap_ev,100,2,3,1755,439,0.4493980839615688,151744,75922,24.89,0.9698915095990188,0.03831582782839791,0.06430638559220256
target_frontier_gap_ev,100,2,4,1755,439,0.4487480599200353,151846,75973,25.18,0.980087588776974,0.0362574056947608,0.0514831180845554
target_frontier_gap_ev,100,2,5,1756,438,0.45176278694998473,151924,76012,25.67,0.9745714630394218,0.03774719140030443,0.05857319484798887
target_frontier_gap_ev,100,3,1,1755,439,0.3649303180864081,95898,47999,22.87,0.9764208221951635,0.038471683968796404,0.05512375340764949
target_frontier_gap_ev,100,3,2,1755,439,0.36522261693608016,95824,47962,22.33,0.9739172595066624,0.04146256820515602,0.05827725941295158
target_frontier_gap_ev,100,3,3,1755,439,0.3656805050559342,95762,47931,22.49,0.9659225628163113,0.04023258191687456,0.06841369902298967
target_frontier_gap_ev,100,3,4,1755,439,0.3641800540499389,95778,47939,22.46,0.9789284696780168,0.03761919843168099,0.05296036317223602
target_frontier_gap_ev,100,3,5,1756,438,0.3649242960382253,96028,48064,23.02,0.9693118300603211,0.040561997591867745,0.06434632104728724
target_frontier_gap_ev,100,5,1,1755,439,0.2897921249968931,54488,27294,19.7,0.9705599954891211,0.04236012876401923,0.06159470629307489
target_frontier_gap_ev,100,5,2,1755,439,0.2869901170488447,54408,27254,19.41,0.9685678729296048,0.04502624643453544,0.06397486758886489
target_frontier_gap_ev,100,5,3,1755,439,0.290192011045292,54496,27298,19.6,0.9572814920337919,0.04465670601272928,0.07659803833430794
target_frontier_gap_ev,100,5,4,1755,439,0.28805186110548675,54494,27297,19.75,0.9737353584833117,0.04238746988938264,0.05912738262592892
target_frontier_gap_ev,100,5,5,1756,438,0.2888624870683998,54364,27232,19.66,0.9579181355792001,0.04520931182523205,0.0753504261200417
target_frontier_gap_ev,100,10,1,1755,439,0.2187003509607166,25658,12879,15.71,0.9615666656279438,0.04859113555258223,0.07037663292029704
target_frontier_gap_ev,100,10,2,1755,439,0.22035001800395548,25810,12955,15.75,0.9562248063266343,0.05147275862168334,0.07549819140445381
target_frontier_gap_ev,100,10,3,1755,439,0.21881927095819265,25736,12918,15.29,0.9440271048626097,0.05251174747838015,0.0876795869410726
target_frontier_gap_ev,100,10,4,1755,439,0.2210386369843036,25740,12920,15.83,0.9649655560305673,0.049174674268185434,0.06828896499282122
target_frontier_gap_ev,100,10,5,1756,438,0.22202178998850286,25696,12898,16.21,0.9405462325636673,0.051768740762691744,0.08956285233820113
target_frontier_gap_ev,200,1,1,1755,439,1.4187026959843934,700656,350428,30.1,0.9815430696068627,0.03466290091116184,0.04877016105304091
target_frontier_gap_ev,200,1,2,1755,439,1.4168700780719519,700464,350332,29.88,0.9780207916771877,0.03712735990888364,0.05349688965710134
target_frontier_gap_ev,200,1,3,1755,439,1.4195326089393348,701012,350606,29.545,0.9777147134072669,0.03568368223234614,0.055324655908300685
target_frontier_gap_ev,200,1,4,1755,439,1.415814463980496,699968,350084,29.935,0.9808880147403864,0.035323282460136766,0.0504377630151185
target_frontier_gap_ev,200,1,5,1756,438,1.440871997969225,700928,350564,30.635,0.9785088383325447,0.03632256164383583,0.05384782570695369
target_frontier_gap_ev,200,2,1,1755,439,0.9074620449682698,303962,152081,25.61,0.9797897020116684,0.03573000271450258,0.051034141220934894
target_frontier_gap_ev,200,2,2,1755,439,0.9037035739747807,303854,152027,24.78,0.9763948117517279,0.038827446469248336,0.05544038583052898
target_frontier_gap_ev,200,2,3,1755,439,0.9045553050236776,303454,151827,24.97,0.9713585859666616,0.0376182721146545,0.06272011376528554
target_frontier_gap_ev,200,2,4,1755,439,0.8929330559913069,303826,152013,25.255,0.9805098201021525,0.03592813893318135,0.05093435838293179
